	ERR4042824	ERR4042849	ERR4042883	ERR4042921	ERR4042941	ERR4042949	ERR4043086	ERR4043188	ERR4043295	ERR4043299	ERR4043366	ERR4043412	ERR4043582	ERR4043596	ERR4043606	ERR4043608	ERR4043615	ERR4043792	ERR4043803	ERR4043806
Actinomyces_graevenitzii	0.007652708678828082	0.0003634073069095843	0.044963967926379536	0.01127241353439868	1.9173249482322263e-05	0.010135715512798488	0.00032344141667340503	0.016107612560510645	0.007866273352999017	0.03844941695556256	0.011315377738042021	0.0028506884681583477	0.0055451082501567096	0.0029652549474634177	0.00437386447749142	0.00936238272640387	0.006722612215032127	0.004075380870326304	0.0039103659821574915	0.000104942806170637
Actinomyces_israelii	0.0	0.0	0.0	0.0	1.9173249482322263e-05	0.0001561743530477425	0.0	0.0	2.8093833403567918e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_lingnae	0.0021593421779988946	0.001526310689020254	0.002368305308387184	0.002550829019431315	0.0020707109440908046	0.0023426152957161375	8.086035416835126e-05	0.0015636379214325493	0.0011518471695462847	0.007297146597493273	0.0036879749664729547	0.0008336919104991394	0.0004339649934905251	0.0010313930252046672	0.0006504721530628267	0.0014238623729739218	0.0009375071456337319	0.002625748748666612	0.0011941836232936052	0.00104942806170637
Actinomyces_massiliensis	0.0	0.0	0.0	0.0	0.0	0.00010932204713341975	4.043017708417563e-05	0.0	8.428150021070375e-05	0.0	0.0006984801072865445	0.0	0.00012054583152514586	0.0	0.0006056120045757351	0.0	0.0	0.0007658433850277618	2.341536516261971e-05	0.0
Actinomyces_meyeri	0.0	0.0	0.00010149879893087932	0.0	0.0002684254927525117	1.561743530477425e-05	4.043017708417563e-05	0.0	0.0	4.848602390360979e-05	0.0	0.0	0.0	0.0	8.972029697418299e-05	1.9504964013341394e-05	2.2866027942286144e-05	0.0	0.0	0.0
Actinomyces_naeslundii	1.7274737423991155e-05	0.0021804438414575055	0.0003383293297695977	5.6268287193337834e-05	5.751974844696679e-05	0.00029673127079071077	0.00020215088542087814	0.0	0.0007023458350891979	0.0002909161434216587	0.0006984801072865445	0.0	0.0	0.0	0.0002467308166790032	1.9504964013341394e-05	4.573205588457229e-05	0.00016410929679166325	0.00011707682581309856	0.0
Actinomyces_odontolyticus	0.03220011055831951	0.10543657331136738	0.059951957235172715	0.09792557581213894	0.025423728813559324	0.05836235573394137	0.005902805854289642	0.027160176498307844	0.05880039331366765	0.04967393148924822	0.06713790791238265	0.01879840791738382	0.034500216982496744	0.03775328219342917	0.02673664849830653	0.018510210848660984	0.07033590195047218	0.049834523125735074	0.059873088720818604	0.03384405499003043
Actinomyces_oricola	0.00012092316196793809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_oris	1.7274737423991155e-05	0.0	0.0	1.875609573111261e-05	3.8346498964644526e-05	3.12348706095485e-05	0.0	0.0	8.428150021070375e-05	0.0	8.381761287438534e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00010940619786110883	0.0	2.623570154265925e-05
Actinomyces_timonensis	0.0	0.0	0.0003721622627465575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9504964013341394e-05	2.2866027942286144e-05	0.0016137414184513553	0.0	0.0
Actinomyces_turicensis	0.0	0.0	3.383293297695977e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_viscosus	0.0	2.4227153793972285e-05	0.0	1.875609573111261e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.366146065047885e-05	0.0
Aggregatibacter_actinomycetemcomitans	0.0026084853510226643	0.0	0.005819264472037081	0.0	1.9173249482322263e-05	0.0	0.0	0.0	0.0	0.0	5.587840858292356e-05	0.00018825301204819278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter_aphrophilus	0.009673852957435046	0.0	0.005819264472037081	0.0021381949133468378	0.02684254927525117	0.0003435835767050335	0.006468828333468101	0.01591483528252581	0.001713723837617643	2.4243011951804894e-05	0.0016204738489047832	0.018233648881239243	0.00757027821977916	0.007047852338898558	0.0026018886122513066	0.007645945893229827	0.004138751057553792	0.0015590383195208009	0.0020605521343105347	0.004040298037569524
Aggregatibacter_segnis	0.010727611940298507	0.0	0.009642385898433536	0.01106609648135644	0.02243270189431705	0.001936561977792007	0.018234009864963208	0.06293107141327164	0.012698412698412698	0.0014060946932046839	0.003660035762181493	0.07664586919104992	0.010222286513332368	0.015470895378070006	0.002130857053136846	0.013165850709005443	0.019779114170077515	0.006537020322201253	0.008406116093380477	0.0025710987511806064
Agrobacterium_tumefaciens	0.0	0.0	0.0	0.0	0.0	0.0	4.043017708417563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2866027942286144e-05	0.0	0.0	0.0
Alkaliphilus_crotonatoxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4243011951804894e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.2866027942286144e-05	0.0	0.0	0.0
Allisonella_histaminiformans	0.0	0.0	0.0	0.0	0.0002684254927525117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella_rava	0.00552791597567717	0.0052088380657040415	0.02361538721791792	0.006227023782729387	0.008340363524810185	0.01713232652933735	0.005619794614700412	0.025253823416013364	0.006433487849417053	0.007127445513830638	0.009024362986142155	0.010891781411359724	0.04424032016972853	0.007735447689035003	0.0017944059394836597	0.09153679611461117	0.004618937644341801	0.0055797160909165505	0.004565996206710844	0.01715814880889915
Alloprevotella_tannerae	0.00020729684908789387	0.007365054753367574	0.016239807828940692	0.0009002925950934053	0.007151622056906204	0.0023426152957161375	0.009824533031454677	0.019641862656899284	0.006040174181767102	0.00024243011951804894	0.0061466249441215915	0.01514092082616179	0.00814889821109986	0.010829626764649004	0.0017271157167530224	0.013614464881312294	0.004207349141380651	0.0154809769973469	0.006930948088135435	0.008159303179767027
Anaeroglobus_geminatus	0.0017101990049751244	0.0012598119972865587	0.0005751598606083162	0.005289218996173756	0.001303780964797914	0.012134747231809592	0.002506670979218889	0.00012851818532322323	0.0023036943390925694	4.848602390360979e-05	0.0004470272686633885	0.00010757314974182444	0.0	0.0007520574142117364	0.0016149653455352936	0.0014628723010006047	0.00038872247501886445	0.0031180766390416018	0.00014049219097571827	0.000104942806170637
Anaerovorax_odorimutans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2866027942286144e-05	0.0	0.0	0.0
Anoxybacillus_flavithermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6187666807135836e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium_citratiphilum	0.0	0.0	0.0	0.0	0.0	6.2469741219097e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Asteroleplasma_anaerobium	0.0	4.845430758794457e-05	0.0	0.0	0.0	0.0	0.0	4.283939510774108e-05	0.0	0.0	0.0	0.0	0.0	2.1487354691763898e-05	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium_parvulum	0.0018138474295190713	0.005862971218141293	0.02063808911594546	0.010353364843574162	0.0018981516987499041	0.004747700332651372	0.00020215088542087814	0.0031272758428650986	0.0031746031746031746	0.03490993721059905	0.03746647295485025	0.0016404905335628227	0.013235932301461015	0.0032445905584563483	0.0004934616333580064	0.012736741500711931	0.003269841995746919	0.0022701786056180083	0.0030439974711405624	0.000104942806170637
Atopobium_rimae	0.00010364842454394693	0.00169590076557806	0.002266806509456305	0.0005064145847400405	0.0016105529565150702	0.00048414049444800173	0.0008894638958518638	0.00014993788287709378	0.00028093833403567916	0.0003636451792770734	0.0005587840858292355	0.0006992254733218589	0.0	0.00027933561099293064	0.0004486014848709149	1.9504964013341394e-05	0.00032012439119200606	0.0037471622767429776	0.00011707682581309856	0.0
Atopobium_vaginae	0.0	0.00019381723035177828	0.00010149879893087932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.793920429146178e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus_ginsengihumi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.689328743545611e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
